455,'20663500','Shell',115787,128,812,4,1595,'2013-02-20 23:50:08'
456,'17816786','shell_ecomar',3262,600,1549,0,61,'2013-02-20 23:50:08'
457,'577176707','Shell_NatGas',4477,133,362,0,60,'2013-02-20 23:50:08'
458,'38220933','Shell_Careers',12870,41,1034,0,226,'2013-02-20 23:50:08'
459,'38199580','ShellMotorsport',20697,138,979,6,809,'2013-02-20 23:50:08'
460,'61216579','Shell_US',15144,148,794,0,322,'2013-02-20 23:50:09'
461,'413387003','Shell_Alaska',2512,470,1011,8,37,'2013-02-20 23:50:09'
462,'702247658','Shell_Australia',448,152,259,1,4,'2013-02-20 23:50:09'
463,'950080579','Shell_Nederland',155,0,47,0,1,'2013-02-21 23:45:04'
464,'20663500','Shell',115881,128,812,4,1594,'2013-02-21 23:45:04'
465,'577176707','Shell_NatGas',4494,133,364,0,60,'2013-02-21 23:45:04'
466,'38220933','Shell_Careers',12885,41,1034,0,230,'2013-02-21 23:45:04'
467,'38199580','ShellMotorsport',20698,138,983,6,810,'2013-02-21 23:45:04'
468,'61216579','Shell_US',15176,148,794,0,322,'2013-02-21 23:45:04'
469,'413387003','Shell_Alaska',2527,470,1011,8,37,'2013-02-21 23:45:05'
470,'702247658','Shell_Australia',452,154,260,1,4,'2013-02-21 23:45:05'
471,'17816786','shell_ecomar',3265,600,1554,0,61,'2013-02-21 23:45:05'
472,'950080579','Shell_Nederland',155,0,47,0,1,'2013-02-21 23:50:09'
473,'20663500','Shell',115881,128,812,4,1594,'2013-02-21 23:50:10'
474,'577176707','Shell_NatGas',4494,133,364,0,60,'2013-02-21 23:50:10'
475,'38220933','Shell_Careers',12885,41,1034,0,230,'2013-02-21 23:50:10'
476,'38199580','ShellMotorsport',20698,138,983,6,810,'2013-02-21 23:50:11'
477,'61216579','Shell_US',15176,148,794,0,322,'2013-02-21 23:50:11'
478,'413387003','Shell_Alaska',2528,470,1011,8,37,'2013-02-21 23:50:11'
479,'702247658','Shell_Australia',452,154,260,1,4,'2013-02-21 23:50:11'
480,'17816786','shell_ecomar',3265,600,1554,0,61,'2013-02-21 23:50:11'
481,'950080579','Shell_Nederland',156,0,48,0,1,'2013-02-22 23:50:06'
482,'20663500','Shell',115974,128,812,4,1595,'2013-02-22 23:50:07'
483,'577176707','Shell_NatGas',4507,133,366,0,61,'2013-02-22 23:50:07'
484,'38220933','Shell_Careers',12900,41,1034,0,230,'2013-02-22 23:50:07'
485,'38199580','ShellMotorsport',20723,138,995,6,810,'2013-02-22 23:50:07'
486,'61216579','Shell_US',15205,148,794,0,322,'2013-02-22 23:50:07'
487,'413387003','Shell_Alaska',2535,470,1011,8,37,'2013-02-22 23:50:07'
488,'702247658','Shell_Australia',452,154,261,1,4,'2013-02-22 23:50:08'
489,'17816786','shell_ecomar',3267,600,1556,0,61,'2013-02-22 23:50:08'
490,'950080579','Shell_Nederland',158,0,50,0,1,'2013-02-23 23:50:04'
491,'20663500','Shell',115999,128,812,4,1596,'2013-02-23 23:50:05'
492,'577176707','Shell_NatGas',4515,133,366,0,61,'2013-02-23 23:50:05'
493,'38220933','Shell_Careers',12912,41,1034,0,230,'2013-02-23 23:50:05'
494,'38199580','ShellMotorsport',20734,138,995,6,810,'2013-02-23 23:50:05'
495,'61216579','Shell_US',15223,148,794,0,322,'2013-02-23 23:50:05'
496,'413387003','Shell_Alaska',2541,470,1011,8,37,'2013-02-23 23:50:06'
497,'702247658','Shell_Australia',453,154,261,1,4,'2013-02-23 23:50:06'
498,'17816786','shell_ecomar',3269,600,1557,0,61,'2013-02-23 23:50:06'
499,'950080579','Shell_Nederland',158,0,50,0,1,'2013-02-24 23:50:03'
500,'20663500','Shell',116040,128,812,4,1599,'2013-02-24 23:50:05'
501,'577176707','Shell_NatGas',4528,133,366,0,61,'2013-02-24 23:50:05'
502,'38220933','Shell_Careers',12925,41,1034,0,229,'2013-02-24 23:50:06'
503,'38199580','ShellMotorsport',20752,138,995,6,811,'2013-02-24 23:50:06'
504,'61216579','Shell_US',15240,148,794,0,323,'2013-02-24 23:50:06'
505,'413387003','Shell_Alaska',2543,470,1011,8,37,'2013-02-24 23:50:06'
506,'702247658','Shell_Australia',455,154,263,1,4,'2013-02-24 23:50:07'
507,'17816786','shell_ecomar',3269,600,1557,0,61,'2013-02-24 23:50:07'
508,'950080579','Shell_Nederland',157,0,50,0,1,'2013-02-25 23:50:05'
509,'20663500','Shell',116090,128,813,4,1603,'2013-02-25 23:50:05'
510,'577176707','Shell_NatGas',4540,133,369,0,61,'2013-02-25 23:50:06'
511,'38220933','Shell_Careers',12948,41,1035,0,230,'2013-02-25 23:50:06'
512,'38199580','ShellMotorsport',20764,138,1002,6,811,'2013-02-25 23:50:06'
513,'61216579','Shell_US',15282,149,797,0,323,'2013-02-25 23:50:07'
514,'413387003','Shell_Alaska',2554,470,1011,8,37,'2013-02-25 23:50:07'
515,'702247658','Shell_Australia',456,155,264,1,4,'2013-02-25 23:50:07'
516,'17816786','shell_ecomar',3269,600,1559,0,61,'2013-02-25 23:50:08'
517,'950080579','Shell_Nederland',159,0,50,0,1,'2013-02-26 23:50:07'
518,'20663500','Shell',116147,128,814,4,1603,'2013-02-26 23:50:07'
519,'577176707','Shell_NatGas',4549,133,370,0,61,'2013-02-26 23:50:08'
520,'38220933','Shell_Careers',12955,41,1036,0,230,'2013-02-26 23:50:08'
521,'38199580','ShellMotorsport',20774,138,1003,6,811,'2013-02-26 23:50:08'
522,'413387003','Shell_Alaska',2565,470,1011,8,37,'2013-02-26 23:50:08'
523,'702247658','Shell_Australia',462,155,267,1,4,'2013-02-26 23:50:08'
524,'17816786','shell_ecomar',3273,600,1561,0,61,'2013-02-26 23:50:09'
